,name,sector,location,rating,reviews,jobs
2398,Speridian Technologies,IT Services & Consulting ,Bengaluru +20 other locations,3.4,455,19
2399,Loadshare Networks,Logistics ,Bengaluru +74 other locations,3.5,455,17
2400,House of EdTech,Marketing & Advertising ,Kolkata +2 other locations,4.3,454,22
2401,Synopsys,Semiconductors ,Bengaluru +10 other locations,3.6,454,95
2402,SISL Infotech,IT Services & Consulting ,New Delhi +41 other locations,3.5,454,184
2403,Kyungshin Industrial Motherson,Electrical Equipment ,Chennai +18 other locations,3.2,454,--
2404,Realme,Consumer Electronics & Appliances ,Gurugram +100 other locations,3.7,455,--
2405,Red Hat,Software Product ,Pune +14 other locations,4.4,453,79
2406,Kolte Patil Developers,Real Estate ,Pune +9 other locations,4.1,453,21
2407,B. Braun Medical,Healthcare ,Mumbai +49 other locations,4.1,453,13
2408,Pratham Education Foundation,Education & Training ,New Delhi +110 other locations,4.1,453,--
2409,Pocket FM,Media & Entertainment ,Bengaluru +17 other locations,2.7,453,11
2410,Puravankara,Real Estate ,Bengaluru +13 other locations,3.5,453,31
2411,ByteDance,Internet ,Gurugram +14 other locations,4.1,453,10
2412,ITI,Hardware & Networking ,Bengaluru +84 other locations,3.7,452,--
2413,Bharat Bijlee,Electrical Equipment ,Mumbai +25 other locations,4.2,452,11
2414,Prodair Air Products,Oil & Gas ,Pune +21 other locations,3.7,452,--
2415,SMEC,Real Estate ,Bengaluru +68 other locations,3.6,452,51
2416,Gaurs Group,Real Estate ,Noida +13 other locations,4.2,452,31
2417,Caresoft Global,Automobile ,Coimbatore +17 other locations,3.4,452,--
2418,Balmer Lawrie,Packaging ,Kolkata +37 other locations,3.6,452,--
2419,Prism Cement,Building Material ,Satna +77 other locations,4.0,452,--
2420,Miracle Software Systems,IT Services & Consulting ,Visakhapatnam +12 other locations,3.8,451,31
2421,Espire Infolabs,IT Services & Consulting ,Gurugram +10 other locations,2.4,451,13
2422,OLX Autos,Internet ,Gurugram +35 other locations,3.9,451,--
2423,LT Foods,FMCG ,Gurugram +65 other locations,3.8,451,--
2424,Paper Boat(Hector Beverages Pvt. Ltd.),Beverage ,Bengaluru +108 other locations,3.9,451,3
2425,Gokaldas Exports,Fashion & Textile ,Bengaluru +25 other locations,3.9,451,23
2426,Corona Remedies,Pharma ,Ahmedabad +67 other locations,4.2,450,--
2427,Infovision,IT Services & Consulting ,Pune +12 other locations,3.4,450,50
2428,Yusen Logistics,Logistics ,Mumbai +38 other locations,4.0,450,2
2429,Almarai,Food Processing ,Riyadh +43 other locations,4.3,450,--
2430,Portea Medical,Healthcare ,Bengaluru +44 other locations,3.7,450,1
2431,JNS Instruments,Industrial Machinery ,Gurugram +23 other locations,4.0,449,12
2432,Khadims,Fashion & Textile ,Kolkata +66 other locations,3.6,449,--
2433,CodeClouds,Software Product ,Kolkata +6 other locations,3.9,449,36
2434,Vijai Electricals,Power ,Hyderabad +46 other locations,3.6,449,--
2435,Ergode IT Services,IT Services & Consulting ,Mumbai +12 other locations,3.3,449,44
2436,NTPC GE Power Services,Power ,Jharsuguda +27 other locations,3.9,449,--
2437,Majesco,IT Services & Consulting ,Mumbai +9 other locations,2.9,449,34
2438,Statusneo,IT Services & Consulting ,Gurugram +19 other locations,4.0,449,21
2439,Reliance Infrastructure,Engineering & Construction ,Mumbai +64 other locations,4.1,448,--
2440,Anunta Technology Management Services,IT Services & Consulting ,Mumbai +20 other locations,3.3,448,15
2441,Kaya Skin Clinic,Beauty & Personal Care ,Mumbai +36 other locations,3.4,448,24
2442,BSCPL Infrastructure,Engineering & Construction ,Hyderabad +47 other locations,3.9,447,2
2443,Usha Martin,Iron & Steel ,Ranchi +29 other locations,4.0,447,--
2444,Bhagwati Products,Consumer Electronics & Appliances ,Noida +20 other locations,3.6,447,12
2445,Ashapura Group Of Industries,Metals & Mining ,Bhuj +33 other locations,4.1,447,5
2446,Orient Craft,Fashion & Textile ,Gurugram +14 other locations,3.8,446,--
2447,Honour Lab,Pharma ,Hyderabad +18 other locations,3.9,446,--
2448,Toyota,Automobile ,Bengaluru +113 other locations,4.2,446,--
